Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
345.47	1.0000	0.071075	14.070	3184.1	4609.7	55.499	10.299	14.424	1413.4	-0.076283	9.8582e-06	0.20805	vapor
346.35	1.0000	0.070894	14.106	3193.1	4622.4	55.536	10.300	14.426	1415.2	-0.076490	9.8753e-06	0.20849	vapor
347.23	1.0000	0.070715	14.141	3202.2	4635.1	55.572	10.302	14.427	1417.0	-0.076695	9.8924e-06	0.20893	vapor
348.11	1.0000	0.070536	14.177	3211.3	4647.8	55.609	10.303	14.428	1418.7	-0.076899	9.9095e-06	0.20937	vapor
348.99	1.0000	0.070358	14.213	3220.3	4660.5	55.645	10.304	14.429	1420.5	-0.077101	9.9265e-06	0.20982	vapor
349.87	1.0000	0.070181	14.249	3229.4	4673.2	55.681	10.305	14.431	1422.3	-0.077303	9.9436e-06	0.21026	vapor
350.75	1.0000	0.070005	14.285	3238.5	4685.9	55.718	10.307	14.432	1424.0	-0.077503	9.9606e-06	0.21069	vapor
351.63	1.0000	0.069830	14.320	3247.6	4698.6	55.754	10.308	14.433	1425.8	-0.077701	9.9776e-06	0.21113	vapor
352.51	1.0000	0.069656	14.356	3256.6	4711.3	55.790	10.309	14.434	1427.5	-0.077899	9.9946e-06	0.21156	vapor
353.39	1.0000	0.069483	14.392	3265.7	4724.0	55.826	10.310	14.436	1429.3	-0.078095	1.0012e-05	0.21200	vapor
354.27	1.0000	0.069310	14.428	3274.8	4736.7	55.862	10.312	14.437	1431.0	-0.078290	1.0029e-05	0.21243	vapor
355.15	1.0000	0.069138	14.464	3283.8	4749.4	55.898	10.313	14.438	1432.8	-0.078483	1.0046e-05	0.21286	vapor
356.03	1.0000	0.068968	14.500	3292.9	4762.1	55.933	10.314	14.439	1434.5	-0.078676	1.0062e-05	0.21330	vapor
356.91	1.0000	0.068798	14.535	3302.0	4774.8	55.969	10.315	14.440	1436.3	-0.078867	1.0079e-05	0.21373	vapor
357.79	1.0000	0.068628	14.571	3311.1	4787.5	56.005	10.316	14.441	1438.0	-0.079057	1.0096e-05	0.21417	vapor
358.67	1.0000	0.068460	14.607	3320.2	4800.2	56.040	10.317	14.442	1439.8	-0.079246	1.0113e-05	0.21460	vapor
359.55	1.0000	0.068293	14.643	3329.2	4812.9	56.075	10.318	14.443	1441.5	-0.079433	1.0130e-05	0.21503	vapor
360.43	1.0000	0.068126	14.679	3338.3	4825.6	56.111	10.319	14.444	1443.3	-0.079619	1.0147e-05	0.21546	vapor
